"Step","stage2 - f1_score","stage2 - f1_score__MIN","stage2 - f1_score__MAX"
"2756","0.8226729069162766","0.8226729069162766","0.8226729069162766"
"13777","0.8229665071770335","0.8229665071770335","0.8229665071770335"
"27553","0.8198113207547171","0.8198113207547171","0.8198113207547171"
"41329","0.8231966053748231","0.8231966053748231","0.8231966053748231"
"55105","0.8126452812645283","0.8126452812645283","0.8126452812645283"
"68881","0.8203677510608204","0.8203677510608204","0.8203677510608204"
"82657","0.8266033254156769","0.8266033254156769","0.8266033254156769"
"96433","0.8400770712909441","0.8400770712909441","0.8400770712909441"
"110209","0.8263757115749525","0.8263757115749525","0.8263757115749525"
"123985","0.8452903855539289","0.8452903855539289","0.8452903855539289"
"137761","0.8302425106990015","0.8302425106990015","0.8302425106990015"